"word1","word2","word3","word4","freq"
"accor","offered","way","report",2
"accord","signed","august","expectation",2
"according","affidavit","county","police",2
"according","auto","club","aaa",2
"according","center","responsive","politics",2
"according","choirmaster","nothing","less",2
"according","conference","news","release",2
"according","congressional","aide","familiar",2
"according","deltas","eric","torbenson",2
"according","environmental","impact","statement",2
"according","introductory","literature","supplied",2
"according","national","weather","service",2
"according","pennsylvania","campaign","finance",2
"according","people","familiar","matter",2
"according","report","taylor","project",2
"according","state","department","human",2
"according","statement","bergen","county",2
"account","may","illegally","disbursed",2
"account","name","vo","group",2
"account","number","balance","medical",2
"accounts","also","lamented","filing",2
"accounts","jessica","including","one",2
"accuracy","course","realistic","paintball",2
"accused","brutality","federal","lawsuit",2
"accused","kind","makes","people",2
"accused","may","secretly","receiving",2
"accused","shoplifting","way","across",2
"accusing","foot","dragging","since",2
"accusing","news","corp","large",2
"achieved","s","almost","famous",2
"achievement","disparate","administering","school",2
"acknowledged","county","mired","extraordinarily",2
"acquire","technology","days","can",2
"acquired","billion","deal","closed",2
"acquisitions","already","hopped","rotation",2
"acre","intertribal","sinkyone","wilderness",2
"across","capitol","said","obamas",2
"across","eminently","reasonable","plus",2
"across","region","roofs","peeled",2
"across","seven","states","capacity",2
"across","state","many","metro",2
"across","valley","hitting","eight",2
"across","white","dome","home",2
"across","wrong","recently","yet",2
"act","decisively","catastrophe","insurance",2
"act","dep","said","fill",2
"act","proposals","put","forth",2
"act","worthy","one","response",2
"acting","defense","lives","january",2
"action","committee","gave","morris",2
"action","committees","laborers","local",2
"action","mays","miami","museum",2
"action","occupy","protesters","already",2
"action","stadiums","camelback","ranch",2
"actions","encourage","women","men",2
"actions","worse","situation","theyre",2
"active","hes","athletic","hes",2
"active","lifestyle","marketing","firm",2
"activists","said","fitting","day",2
"activities","funded","grants","volunteer",2
"activities","preparing","seminars","lectures",2
"activity","programs","self","management",2
"actor","brought","home","another",2
"actors","lot","small","roles",2
"actual","singing","evenings","takes",2
"actually","climb","mountains","sail",2
"actually","happen","first","time",2
"actually","practiced","law","represented",2
"ad","store","battle","waste",2
"adagio","faster","usual","virtuosic",2
"adam","top","game","end",2
"adams","issued","statement","monday",2
"adapted","facebook","website","design",2
"add","cherry","preserves","dried",2
"add","parsley","raw","onion",2
"add","salt","pepper","pulse",2
"add","yeast","will","ferment",2
"added","didnt","watch","close",2
"added","doubled","edged","contrast",2
"added","mixa","possible","heart",2
"added","points","respectively","st",2
"added","selection","specialty","sashimi",2
"added","well","another","dimension",2
"added","wood","stain","unify",2
"addictive","cant","wait","get",2
"adding","real","schmalts","rendered",2
"adding","smoking","room","walled",2
"adding","waiver","rule","without",2
"addition","customers","waiting","rollout",2
"addition","picked","victory","saturday",2
"additional","channels","standard","definition",2
"additional","data","rational","reasonable",2
"additional","depth","us","womens",2
"additional","year","budget","adopted",2
"additionally","paintball","marker","upgrades",2
"additionally","pay","shipping","amazon",2
"additionally","saving","list","price",2
"address","christies","concerns","including",2
"administering","school","discipline","policies",2
"administration","building","annex","pavonia",2
"administration","director","information","technology",2
"administrations","former","auto","czar",2
"administrations","successful","efforts","restart",2
"admission","came","response","question",2
"admits","making","bad","investment",2
"adobe","national","register","historic",2
"adopt","legislation","friday","special",2
"adopting","daughter","amaya","josephine",2
"adopting","missionary","attitude","might",2
"adoption","enforcement","local","anti",2
"adoption","process","second","time",2
"ads","future","will","emphasize",2
"adulthood","see","advocates","children",2
"advanced","state","final","freshman",2
"advantage","discussing","injuries","kelly",2
"adventures","occurred","didnt","live",2
"advertising","next","data","else",2
"advice","image","consultant","lenny",2
"advisers","party","leaders","met",2
"advocacy","group","said","states",2
"advocate","poor","founded","known",2
"advocates","children","youth","information",2
"affair","check","arrives","waiter",2
"affected","patients","may","unable",2
"affidavit","county","police","detective",2
"affiliate","goes","like","kmbc",2
"affiliations","yankees","fans","real",2
"afford","leave","rent","low",2
"affordable","prices","help","inner",2
"affordable","soak","art","history",2
"afghanistan","guantanamo","rendition","instead",2
"aftermath","thursdays","inning","loss",2
"afternoon","dont","want","participate",2
"afternoon","tea","elaborate","flavors",2
"age","acceptable","competitive","james",2
"age","bar","bar","lack",2
"age","covered","compared","percent",2
"age","exorbitant","fuel","prices",2
"age","know","yet","head",2
"age","netflicks","ask","look",2
"age","record","north","london",2
"age","relying","stimulants","keep",2
"age","want","make","sure",2
"aged","sirloin","cup","mustardy",2
"agencies","arcane","international","treaties",2
"agencies","doesnt","go","far",2
"agency","said","increased","lending",2
"agency","specializes","creating","powerful",2
"agencys","use","force","saying",2
"agenda","change","positive","thing",2
"agenda","throughout","europe","countries",2
"agent","brian","terry","atf",2
"agent","sterling","lord","relation",2
"ages","free","children","museum",2
"ages","gives","tangible","resources",2
"ages","like","family","traditions",2
"aggravated","deadly","unlawful","possession",2
"aggressive","marketer","lap","band",2
"agility","person","turning","handle",2
"aging","filtering","pasteurizing","sake",2
"ago","days","roommate","dharun",2
"ago","iâ","m","hoping",2
"ago","last","season","however",2
"ago","mentioned","coffee","grounds",2
"ago","reforms","supposed","help",2
"agree","just","hater","way",2
"agree","receive","real","time",2
"agree","republicans","face","uphill",2
"agreed","thursday","pay","million",2
"agreed","words","waiting","teens",2
"agreement","cant","nullified","one",2
"agreement","increase","exports","hebei",2
"agreement","jersey","city","refusing",2
"agreement","property","ownership","company",2
"agreement","prosecutors","brief","statement",2
"agreement","reached","end","weekend",2
"agricultural","commodities","cotton","corn",2
"agricultural","lands","running","center",2
"aguilar","adobe","national","register",2
"ahead","may","patiala","house",2
"ahead","term","reading","texts",2
"aid","catch","phrases","impact",2
"aide","familiar","talks","smallest",2
"ailments","passing","even","dearer",2
"aimed","romney","trump","romney",2
"aimesâ","little","shout","swirling",2
"air","compressors","several","tanks",2
"air","force","enjoy","watching",2
"air","force","tanks","troops",2
"air","may","says","will",2
"air","reaction","espn","draft",2
"aired","sneak","peek","earlier",2
"airline","connects","small","cities",2
"airlineâ","s","aadvantage","rewards",2
"airlines","different","regulations","sizes",2
"airlines","eagle","employees","sponsored",2
"airport","according","deltas","eric",2
"airport","bake","sales","raise",2
"airport","records","date","back",2
"alan","diane","johnson","familyâ",2
"alan","presents","springsummer","uploaded",2
"albany","former","cafe","tululah",2
"albeit","shorter","drives","beginning",2
"albert","belle","mold","zachary",2
"albondigas","pleasant","subtle","mildly",2
"albouyc","geneviã","ve","charbonneaua",2
"album","call","learning","bad",2
"album","youâ","ll","barely",2
"alcohol","can","lift","jam",2
"alcoholics","realizing","liver","real",2
"alcoholism","depression","burnout","plagues",2
"alcove","wall","filled","giant",2
"alert","bracelet","bracelet","labeled",2
"alex","ovechkin","friends","ousted",2
"alexander","one","just","three",2
"alexander","radulov","andrei","kostitsyn",2
"alfonzo","dennard","ability","seventh",2
"alhassan","expectations","every","player",2
"alhassans","lack","condition","led",2
"ali","gumâ","donâ","t",2
"alienated","participation","system","dangerous",2
"alive","runs","floor","really",2
"allegation","federal","law","enforcement",2
"alleged","pay","injure","program",2
"allegedly","shot","congresswoman","others",2
"allegedly","used","laptopâ","s",2
"alleging","city","state","circumvented",2
"alleging","violation","waterfront","development",2
"allen","conley","pauls","savvy",2
"allen","seems","willing","give",2
"allergan","aggressive","marketer","lap",2
"allow","americans","groups","comb",2
"allow","cabin","check","book",2
"allow","insects","inside","said",2
"allow","interaction","among","players",2
"allowed","one","run","four",2
"allowed","purchase","tickets","two",2
